"FID_site","Area_ha","BASIN_NAME","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs","FGM_yr","rate_scale","maint_cost_scale","rest_low_cost_scale","rest_high_cost_scale","DCF_25_4_CPlow","NPV_25_4_CPlow_RClow","NPV_25_4_CPlow_RChigh","DCF_25_7_CPlow","NPV_25_7_CPlow_RClow","DCF_25_4_CPhigh","NPV_25_4_CPhigh_RClow","DCF_25_4_CPlow_upperCI","NPV_25_4_CPlow_RClow_upperCI","DCF_25_4_CPlow_lowerCI","NPV_25_4_CPlow_RClow_lowerCI"
375,1.58513730064,"Fitzroy",8.36430913797415,4.34004016939375,4.3722548037628,4.69225553725818,5.64655112596707,7.18602272388711,8.98393749343072,10.7352945005081,12.2609672336465,13.4908222292699,14.4212496708795,15.0813694042129,15.5124123012272,15.7568455154579,15.8533808727356,15.8351750699447,15.7296174971994,15.5588245693559,15.3403849749118,15.0881351385793,14.8128682165718,14.5229426916615,14.2247866413693,13.9233067758452,13.6222158607359,305.355970155786,117.091714028631,0,1188.85297548,14673.870875202,121886.172933358,6693.46324476683,-7980.40763043521,-115192.709688592,2910.07882621713,-11763.7920489849,26485.8428029659,11811.9719277638,16531.0935975805,1857.22272237846,2854.0212336799,-11819.8496415221
376,1.73715294468,"Fitzroy",4.34543564290667,4.34598497148877,4.4211560008586,5.16785963438065,7.39465447875326,10.9869244817452,15.182257025258,19.2689496602854,22.8290207918609,25.698817944843,27.8699178163641,29.4102699213595,30.416084170248,30.9864552666699,31.2117150692186,31.1692328569228,30.9229202242806,30.5243845759164,30.0146681227856,29.4260573802807,28.7837375686782,28.1072127353237,27.411482435965,26.7079962015378,26.0054175609302,558.608612538862,142.746485133871,0,1302.86470851,16081.1041355341,133575.132035232,17845.744283812,1764.64014827786,-115729.38775142,9715.98954285538,-6365.11459267875,53783.6872160861,37702.583080552,29496.2073247126,13415.1031891785,11191.8501847707,-4889.25395076342
377,1.54948289359,"Waterpark",6.11082713715409,6.11134521894952,6.18224038648602,6.88647018940929,8.98660098294289,12.3745362797376,16.3312308472729,20.1854651375208,23.5430330919671,26.249591079293,28.2971949290778,29.7499290670071,30.6985308126972,31.2364581868172,31.448904811199,31.4088390626882,31.1765371306286,30.8006708986917,30.3199480238855,29.7648185071887,29.1590349887599,28.520992091046,27.8648361683888,27.2013654820429,26.538750763966,577.148151274818,142.963666397117,0,1162.1121701925,14343.8122960667,119144.593877854,19496.9074232051,5153.09512713833,-99647.6864546494,11121.8798298681,-3221.93246619867,56714.8679734849,42371.0556774182,25150.1658205832,10806.3535245165,14057.8037695105,-286.008526556219
378,8.78033499534,"Waterpark",54.6855167145387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,10.8610837065387,315.351525671468,554.06723142667,-0.083333333,6036.48031149133,74507.5585109753,618885.176157448,-25392.5567048801,-99900.1152158554,-644277.732862328,-23455.7594726008,-97963.3179835761,-4198.61680908409,-78706.1753200594,4900.64691325048,-69606.9115977248,-32628.5554665769,-107136.113977552
379,1.63467423868,"Waterpark",11.2406662263414,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,3.08165141034135,85.2003000745337,121.63281739162,0,1226.00567901,15132.4422759623,125695.223287605,-4300.15522280168,-19432.597498764,-129995.378510407,-4166.85741588697,-19299.2996918493,1395.78887590409,-13736.6534000582,1339.6826525523,-13792.75962341,-5647.31745749541,-20779.7597334577
380,1.86693114872,"Waterpark",10.4721222220059,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,1.15390120600593,38.1657511661483,138.914011166061,0,1400.19836154,17282.4818381027,143554.184710488,-7880.69644853406,-25163.1782866367,-151434.881159022,-6865.3487286094,-24147.8305667121,-5282.80839916027,-22565.2902372629,-1439.56881215592,-18722.0506502586,-9419.25909738078,-26701.7409354834
381,1.7329101467,"Waterpark",4.57639013025356,4.57691394029283,4.64859297016424,5.36060918839374,7.48396037176025,10.9093548489843,14.9097971633699,18.8066463340826,22.2013377081906,24.9378211324295,27.0080646005476,28.4768610966454,29.4359511902035,29.9798262335674,30.1946218037635,30.1541130627009,29.9192426518407,29.5392206023437,29.0531825478405,28.4919151640047,27.8794337153824,27.2343362071363,26.5709254047534,25.9001189619741,25.2301779515967,543.479414982222,119.309064187849,0,1299.682610025,16041.8278724098,133248.890006795,17651.886757044,1610.05888463418,-115597.003249751,9657.32429412236,-6384.50357828745,52635.267066059,36593.4391936492,33351.2114215645,17309.3835491547,10587.494692303,-5454.33318010685
382,1.50342922457,"Calliope",3.9714052104706,3.97190789505751,4.04069608317829,4.72399642433076,6.76171207017468,10.048959122902,13.8880621211141,17.6277499254016,20.8855321425024,23.511652179473,25.4984019638407,26.9079613547248,27.8283709905528,28.3503113525279,28.5564441380394,28.5175691294665,28.2921711290299,27.9274755091569,27.4610395489187,26.922408285987,26.3346284404186,25.7155479529582,25.078892753278,24.4351401821102,23.792218140136,511.050254045751,138.714836571894,0,1127.5719184275,13917.4860767191,115603.382990873,16459.8010664739,2542.31498975475,-99143.5819243987,9048.00451022575,-4869.48156649335,49337.8698609011,35420.383784182,21945.0466148967,8027.56053817762,11182.3456581601,-2735.14041855897
383,1.48527131232,"Calliope",6.49944084743445,2.05277607560404,2.07945419945809,2.34445857926201,3.13474586352241,4.40963892884852,5.89855829237262,7.34892146000101,8.61238717775974,9.63087534434583,10.4013965379163,10.9480659740064,11.3050284545121,11.5074525915856,11.5873970723532,11.5723201772951,11.4849040679836,11.3434641611944,11.1625662969365,10.9536689275375,10.7257102627234,10.4856122695753,10.2386982755685,9.98903170788936,9.73968724435772,215.456260790044,119.034648503715,0,1113.95348424,13749.3953633076,114207.164233218,2556.94792079414,-11192.4474425135,-111650.216312423,177.588165384426,-13571.8071979232,16484.5310235911,2735.13566028352,8433.80640980386,-5315.58895350375,-329.969904792385,-14079.3652681
384,2.09437970603,"Coral Sea",40.2570063835858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,29.8035369275858,755.541892645645,388.062223453161,0,1570.7847795225,19388.0097058592,161043.416828448,21832.869836971,2444.86013111173,-139210.546991477,14056.5511806164,-5331.45852524284,71836.7126327608,52448.7029269015,29058.7266709592,9670.71696509996,20106.8625198827,718.852814023467
