"FID_site","restor_ha","FGM1","FGM2","X","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs","rate_scale","maint_cost_scale","rest_low_cost_scale","rest_high_cost_scale","DCF_25_4_CPlow_FGM2","NPV_25_4_CPlow_FGM2_RClow","NPV_25_4_CPlow_FGM2_RChigh","DCF_25_7_CPlow_FGM2","NPV_25_7_CPlow_FGM2_RClow","DCF_25_4_CPhigh_FGM2","NPV_25_4_CPhigh_FGM2_RClow","DCF_25_4_CPlow_FGM1","NPV_25_4_CPlow_FGM1_RClow","DCF_25_4_CPlow_FGM2_upper","NPV_25_4_CPlow_FGM2_RClow_upper","DCF_25_4_CPlow_FGM2_lower","NPV_25_4_CPlow_FGM2_RClow_lower","NPV_25_4_CPlow_FGM2_RClow_rank","NPV_25_4_CPhigh_FGM2_RClow_rank","NPV_25_4_CPlow_FGM2_RChigh_rank","NPV_25_4_CPlow_FGM1_RClow_rank","NPV_25_7_CPlow_FGM2_RClow_rank","NPV_25_4_CPlow_FGM2_RClow_upper_rank","NPV_25_4_CPlow_FGM2_RClow_lower_rank"
10,2.89,1714.1168,242.7311,10,7.68495071455803,7.68584705512809,7.80850377737614,9.02690162221506,12.6603673206271,18.5218816259484,25.3674143111026,32.0356790355563,37.8446543765834,42.5273082560425,46.0698963534302,48.5832920311333,50.224481196604,51.1551568802899,51.5227137604669,51.4533954478439,51.0514866217782,50.4011951898642,49.5694898115948,48.6090524601194,47.5609779108334,46.4570909576507,45.3218664063391,44.1739864799258,43.0275874762026,926.345177079214,0,2167.5,26753.1946994193,222221.153735506,29447.1750810295,2693.98038161024,-192773.978654476,16044.445071811,-10708.7496276083,89069.1383717531,62315.9436723338,-2957.3812857386,-29710.5759851579,37662.2899686191,10909.0952691998,21232.06019344,-5521.13450597932,21,19,24,22,22,20,32
11,1.27,753.2624,106.6673,11,3.95128621705672,3.95168079946292,4.00567610684736,4.54203289955191,6.141538362121,8.72186384981879,11.735368815308,14.6708377966945,17.2280348534777,19.2894085064032,20.8489083018411,21.9553423374893,22.6778181369518,23.0875153691525,23.2493193564325,23.2188044076482,23.0418781845582,22.7556102563753,22.3894812197447,21.966682460199,21.5053045070522,21.0193571063526,20.5196144304112,20.0143006707481,19.5096388352063,421.997303786905,0,952.5,11756.5942104715,97654.2786311737,13688.6192576782,1932.02504720675,-83965.6593734955,7579.34091706189,-4177.25329340957,40873.7022434681,29117.1080329966,-551.445304880807,-12308.0395153523,17305.0346112275,5548.44040075609,10072.2039041289,-1684.39030634258,26,35,7,7,7,30,11
12,1.95,1156.584,163.7805,12,4.94484982580739,4.94545410031655,5.02814402098617,5.84953578237712,8.29906308794029,12.2506455534383,16.8656111607203,21.3610702840613,25.2772332249713,28.4340783674063,30.8223398778168,32.5167638391903,33.6231834418776,34.2506052174041,34.4983963592703,34.4516649150682,34.18071515924,33.742316464643,33.1816162397461,32.5341304195965,31.8275633456693,31.0833699340574,30.3180500529316,29.5441984587123,28.7713452392867,618.601944372535,0,1462.5,18051.4635515113,149941.608921881,19546.4990288095,1495.03547729817,-130395.109893071,10598.4779879095,-7452.98556360184,59351.2433295307,41299.7797780194,-2318.16703181264,-20369.6305833239,25084.778430837,7033.31487932573,14008.2196267819,-4043.24392472939,35,28,15,17,17,25,29
13,5.08,3013.0496,426.6692,13,14.3989747179221,14.4005507338672,14.6162153556661,16.7584975363059,23.1471405010374,33.4533124144613,45.4896622410093,57.2143257041781,67.4281195101772,75.6615270187035,81.890381892773,86.3096303312436,89.1952972085614,90.8316838301897,91.4779510228888,91.3560701556883,90.6494026907304,89.5060095431529,88.0436402366442,86.3549243279594,84.5121178584401,82.5711776645112,80.5751372598097,78.5568451869159,76.5411569878744,1650.93975193071,-0.083333333,3492.50000127,43107.5121207375,358065.688444509,54438.1862006026,11330.6740798651,-303627.502243907,30420.2347734068,-12687.2773473306,160734.761245825,117627.249125088,-2522.07204963348,-45629.584170371,68882.6423444976,25775.1302237602,39993.7300567075,-3113.78206402999,10,14,27,26,23,12,23
14,43.63,25877.8256,3664.4837,14,130.173080483944,130.18660364116,132.037134782917,150.419194189042,205.237562919131,293.670667612048,396.949731193869,497.554339795159,585.194785204507,655.842334488309,709.289626055229,747.209414615543,771.970158295584,786.011331938346,791.556690078269,790.510879511578,784.44725099493,774.636255527915,762.088254284723,747.598064134217,731.785685026169,715.131260006455,698.004042300106,680.685892003135,663.390084497544,14331.5803235798,-0.229166667,25223.5937390925,311331.817449133,2586028.19010695,498374.26951967,187042.452070537,-2087653.92058728,287986.585683441,-23345.2317656917,1421398.93060982,1110067.11316069,9166.38222482785,-302165.435224305,622316.322217387,310984.504768255,374432.216821953,63100.3993728205,2,2,42,42,38,2,2
15,2.7,1601.424,226.773,15,8.5428420700913,8.54367834803671,8.65811600164517,9.79487057953931,13.1848624313694,18.6536042287967,25.0404266045386,31.2618595168194,36.6815829181356,41.0504582052325,44.3556620467833,46.7006383242701,48.2318535221152,49.1001658295,49.4430931975576,49.3784198155914,49.0034423811995,48.3967261387794,47.6207522643903,46.7246725801599,45.7468281536273,44.7169112403435,43.6577566209327,42.5867946467709,41.5172143605814,898.593232026807,0,2025,24994.3341482464,207611.45850722,29177.2576126994,4182.92346445295,-178434.20089452,16174.7934644169,-8819.54068382954,87071.6167706333,62077.2826223869,-1096.89539431587,-26091.2295425623,36841.8882552695,11847.5541070231,21512.6269701293,-3481.70717811714,18,20,22,21,20,18,26
16,2.21,1310.7952,185.6179,16,69.7990383844557,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,5.80677473731196,209.161632079943,0,1657.5,20458.3253583795,169933.823444798,-1231.64987261659,-21689.9752309961,-171165.473317415,-1600.67263820617,-22058.9979965856,13111.5137051297,-7346.81165324974,-26011.6047413216,-46469.9300997011,-833.429747597851,-21291.7551059773,-1629.86999763534,-22088.1953560148,42,43,21,30,36,42,39
17,2.42,1435.3504,203.2558,17,7.25108788657079,7.25183681097912,7.35432086247124,8.37233557197768,11.4082253210765,16.3057288812443,22.0254147764663,27.5969869892145,32.4505923771225,36.3631161467677,39.3230744298028,41.4231058616952,42.7943777484676,43.5719903647288,43.8790972035873,43.8211792893467,43.4853701785964,42.9420285714534,42.2471091634453,41.4446296158138,40.5689260741899,39.6465892851579,38.6980688189378,37.7389743369623,36.7811172185365,794.745283784612,0,1815,22402.3291254653,186081.381328693,25617.0168285499,3214.68770308459,-160464.364500143,14120.1582999367,-8282.17082552858,76804.2913790491,54401.9622535838,-1517.59438514524,-23919.9235106105,32481.0373381701,10078.7082127048,18752.9963189296,-3649.33280653568,19,22,19,19,19,21,27
18,1.14,676.1568,95.7486,18,3.44490967800644,3.44526165748425,3.49342710986666,3.97187364180438,5.39868104275619,7.70040966380036,10.3885475215223,13.0070749138449,15.2881722728061,17.1269801124474,18.5181012445626,19.5050739731161,20.1495443058562,20.5150066670254,20.6593407327458,20.6321204726191,20.4742969137538,20.218937236563,19.8923390276836,19.5151897066278,19.1036265744028,18.6701467495338,18.2243611206061,17.7736059159743,17.3234322474377,374.440460502847,0,855,10553.1633070374,87658.171369715,12071.4470732534,1518.28376621606,-75586.7242964615,6656.8595931421,-3896.30371389527,36189.6274795599,25636.4641725226,-710.973085264107,-11264.1363923015,15297.3992891791,4744.23598214171,8845.49485732779,-1707.66844970958,33,39,4,4,3,37,14
19,11.49,6814.9488,965.0451,19,261.223290474091,29.040863298029,29.1882272350483,30.6520516384778,35.0174202911634,42.059641941116,50.2840965734431,58.2955754787376,65.2746750389799,70.9005738786747,75.1567591060383,78.1764377307836,80.1482179347922,81.2663631968087,81.7079584713987,81.6246771047648,81.1418102398562,80.3605281065949,79.3612891188279,78.2073871819439,76.9481949498196,75.6219478068678,74.2580506130067,72.8789488232191,71.5016262640685,1840.29661249655,-0.166666667,7181.2499971275,88637.3145828634,736251.746078325,36300.4886764408,-52336.8259064226,-699951.257401884,18742.098849092,-69895.2157337713,157889.344262394,69252.0296795311,-92532.8513423018,-181170.165925165,47615.2701219805,-41022.0444608829,24985.707230901,-63651.6073519623,43,18,34,38,42,43,43
