"FID_site","restor_ha","NPV_25_4_CPlow_FGM2_RClow","NPV_25_4_CPlow_FGM2_RChigh","NPV_25_4_CPhigh_FGM2_RClow","NPV_25_7_CPlow_FGM2_RClow","NPV_25_4_CPlow_FGM1_RClow","NPV_25_4_CPlow_FGM2_RClow_upper","NPV_25_4_CPlow_FGM2_RClow_lower","BASIN_NAME"
21,1.41,2297.9498347017,-93068.7706638732,32681.0578963284,-4524.17543570916,-13511.8856245174,6297.34528894356,-1701.44561954018,"Harvey River"
22,1.54,1696.05143388546,-102463.345422714,33809.6940726179,-5517.05654678113,-15571.4284293751,6059.59432114412,-2667.49145337321,"Murray River"
23,5.12,11186.6304878648,-306251.531476252,118013.263415086,-12944.738859507,-46222.1337328455,25720.3884166763,-3347.12744094663,"Murray River"
24,1.98,2960.62119444142,-130958.603335472,45275.8845600525,-6545.38048201576,-19240.4243440364,8587.28493315965,-2666.04254427681,"Murray River"
25,3.24,-4459.33343748139,-223599.882668249,52541.7375588487,-17311.8270534675,-40788.3170458997,4752.39037047605,-13671.0572454389,"Murray River"
26,13.5,42797.4901173719,-718107.194407322,322879.938184019,-20828.7720707246,-108573.274917704,81152.4673777128,4442.51285703064,"Murray River"
27,1.17,1500.56903332484,-77633.5181888969,26177.5573860548,-4042.68863477774,-11618.2306030484,4820.51449898627,-1819.37643233658,"Murray River"
28,1.45,933.212391526953,-97138.9469864402,30296.7690317361,-5669.19407610403,-15325.1290381664,5053.35452730675,-3186.92974425285,"Murray River"
29,4.6,5692.39332571632,-305433.077804386,102440.294719034,-16049.1686678758,-45885.7932788281,18769.3011706472,-7384.5145192146,"Murray River"
30,21.34,11000.425413564,-1191792.6092351,379196.963396265,-73111.7017300071,-228277.509834475,71633.7915098331,-49632.9406827048,"Busselton Coast"
31,15.83,55071.5342194103,-837159.662523249,389925.078040489,-20956.2505399815,-122424.703595794,100044.858188941,10098.21024988,"Busselton Coast"
32,4.03,5549.10340467544,-267023.863694088,91048.2461238754,-13660.6693192358,-39637.8731206102,17002.2304827757,-5904.02367342484,"Busselton Coast"
33,9.36,21166.6478670597,-559149.991973591,217401.308564019,-23159.3062862683,-83783.7492239264,47744.4049177857,-5411.10918366618,"Busselton Coast"
34,37.2,159964.529791422,-1779496.96603417,947599.378945088,-19561.50583541,-257146.022749677,265648.761431541,54280.2981513026,"Busselton Coast"
35,15.24,52478.4597037959,-806498.384159636,374140.487296353,-20555.9677118388,-118402.315046912,95767.4592478023,9189.46015978945,"Busselton Coast"
36,8.31,17591.8184172632,-497625.19836434,190233.546896238,-21412.5701997919,-75585.2969487726,41187.4347576261,-6003.79792309983,"Busselton Coast"
37,8.26,-3228.70749750553,-515345.742228678,141118.105991117,-35983.2295206347,-95845.1904004484,20242.1952707374,-26699.6102657484,"Busselton Coast"
38,4.62,6164.74098962609,-306313.449580173,103922.230337363,-15802.9060794799,-45637.6986001555,19303.0233371208,-6973.54135786853,"Harvey River"
39,31.88,130217.068299757,-1531880.57919809,796171.12051307,-21637.4105816213,-227242.19016826,220786.121578295,39648.0150212194,"Murray River"
40,47.89,205553.045849856,-2291242.94971702,1219027.33127855,-25453.6717733869,-331420.7273005,341611.810250596,69494.2814491158,"Busselton Coast"
41,2.15,2222.13295207345,-143195.206815257,46864.3631597189,-7808.91655254191,-21885.0629609202,8323.85850498794,-3879.59260084105,"Harvey River"
42,1.27,649.136156800765,-85248.5482639015,26146.207444688,-5086.23844345047,-13590.9284057582,4262.36831396287,-2964.09600036133,"Murray River"
